Event Index	UTC Timestamp	UTC Date	Local Timestamp	Local Timezone	Local Date	Experiment ID	Experiment Version	Tree Node Key	Repeat Key	Schedule ID	Participant Public ID	Participant Starting Group	Participant Status	Participant Completion Code	Participant External Session ID	Participant Device Type	Participant Device	Participant OS	Participant Browser	Participant Monitor Size	Participant Viewport Size	Checkpoint	Task Name	Task Version	Spreadsheet	Trial Number	Display	Screen	Screen ID	Screen Counter	Response Type	Response	Onset Time	Clock Time	Reaction Time	Absolute Onset Time	Absolute Clock Time	Absolute Reaction Time	Correct	Response Onset	Response Duration	Proportion	Tag	Component Name	Object Name	Object Number	Object ID	Spreadsheet: display	Spreadsheet: randomise_trials	Spreadsheet: pcp	Spreadsheet: pcp_string	Spreadsheet: corr	Spreadsheet: sample_size	Spreadsheet: spacing	Spreadsheet: corr_scale	Spreadsheet: corr_estimated	Spreadsheet: attention_image	Spreadsheet: correct_attention_choice	Spreadsheet: text	Spreadsheet: screen	Spreadsheet: helptext	Spreadsheet: corr_correct_response	Manipulation: Spreadsheet
1	1686560748137	12/06/2023 09:05:48	1686564348137	1	12/06/2023 11:05:48	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est						5	BEGIN							0																								
2	1686560751223	12/06/2023 09:05:51	1686564351223	1	12/06/2023 11:05:51	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	1	introduction	instructions	9k12za	1	continue		4562.60000000149	4558.322	4562.60000000149	4562.60000000149	4558.322	4562.60000000149	1	4562.60000000149	0	0		Click To Continue	Continue Button	2	object-21	introduction											"This evaluation is examining how linear relationships are perceived in parallel coordinates plots with varying layouts.
The next section contains 5 training questions. Your answers will not be recorded and you may take as much time as needed.
After the training section you will be given the opportunity to pause before the live questions begin.
Thanks for participating!
Please click ‘Continue’ to start."	introduction			
3	1686560758764	12/06/2023 09:05:58	1686564358764	1	12/06/2023 11:05:58	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	1	training	corr_est_examples	dfh83h	1	response	+	7544.678	7541.834999999999	7544.678	7544.678	7541.834999999999	7544.678	1	7544.678	0	0	estimated_corr	Click Response	+	8	object-95	training		example_pcp_corr_-0.905_size_40_120.png	pcp_corr_-0.905_size_40_120	-0.905	160	120	-3			---	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	---	
4	1686560761607	12/06/2023 09:06:01	1686564361607	1	12/06/2023 11:06:01	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	1	training	corr_est_examples	dfh83h	1	response	---	10388.27800000149	10382.168	10388.27800000149	10388.27800000149	10382.168	10388.27800000149	1	10388.27800000149	0	0	estimated_corr	Click Response	---	4	object-91	training		example_pcp_corr_-0.905_size_40_120.png	pcp_corr_-0.905_size_40_120	-0.905	160	120	-3			---	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	---	
5	1686560762809	12/06/2023 09:06:02	1686564362809	1	12/06/2023 11:06:02	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	1	training	corr_est_examples	dfh83h	1	continue		11589.27800000149	11583.619999999999	11589.27800000149	11589.27800000149	11583.619999999999	11589.27800000149	1	11589.27800000149	0	0		Click To Continue	Continue Button	15	object-112	training		example_pcp_corr_-0.905_size_40_120.png	pcp_corr_-0.905_size_40_120	-0.905	160	120	-3			---	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	---	
6	1686560766436	12/06/2023 09:06:06	1686564366436	1	12/06/2023 11:06:06	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	2	training	corr_est_examples	dfh83h	1	response	0	3633.158000001491	3632.0070000000014	3633.158000001491	3633.158000001491	3632.0070000000014	3633.158000001491	1	3633.158000001491	0	0	estimated_corr	Click Response	0	7	object-94	training		example_pcp_corr_0_size_160_120.png	pcp_corr_0_size_160_120	0	160	120	0			0	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	0	
7	1686560767492	12/06/2023 09:06:07	1686564367492	1	12/06/2023 11:06:07	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	2	training	corr_est_examples	dfh83h	1	continue		4688.857999997021	4687.607	4688.857999997021	4688.857999997021	4687.607	4688.857999997021	1	4688.857999997021	0	0		Click To Continue	Continue Button	15	object-112	training		example_pcp_corr_0_size_160_120.png	pcp_corr_0_size_160_120	0	160	120	0			0	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	0	
8	1686560769112	12/06/2023 09:06:09	1686564369112	1	12/06/2023 11:06:09	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	3	training	corr_est_examples	dfh83h	1	response	+	1621.451000000001	1618.0900000000001	1621.451000000001	1621.451000000001	1618.0900000000001	1621.451000000001	1	1621.451000000001	0	0	estimated_corr	Click Response	+	8	object-95	training		example_pcp_corr_0.905_size_160_120.png	pcp_corr_0.905_size_160_120	0.905	160	120	3			+++	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	+++	
9	1686560770544	12/06/2023 09:06:10	1686564370544	1	12/06/2023 11:06:10	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	3	training	corr_est_examples	dfh83h	1	response	+++	3052.951000000001	3048.688000000002	3052.951000000001	3052.951000000001	3048.688000000002	3052.951000000001	1	3052.951000000001	0	0	estimated_corr	Click Response	+++	10	object-97	training		example_pcp_corr_0.905_size_160_120.png	pcp_corr_0.905_size_160_120	0.905	160	120	3			+++	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	+++	
10	1686560771378	12/06/2023 09:06:11	1686564371378	1	12/06/2023 11:06:11	135554	9	task-3dzl		30006867	f959a861b33de106de11f88f1e3f5366		complete		6486edc3b7d7cf855a76868d	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1920x1080	1920x969		corr_spacing	20	gorilla_corr_est	3	training	corr_est_examples	dfh83h	1	continue		3886.951000000001	3882.089	3886.951000000001	3886.951000000001	3882.089	3886.951000000001	1	3886.951000000001	0	0		Click To Continue	Continue Button	15	object-112	training		example_pcp_corr_0.905_size_160_120.png	pcp_corr_0.905_size_160_120	0.905	160	120	3			+++	"This is a training question.
Try to estimate the type and strength of the relationship between **V1 and V2**.
Click the green button that you think corresponds to the type and strength of the relationship. For example, ‘---’ represents a very strong negative relationship, ‘++’ represents a strong positive relationship, ‘+’ represents a moderate positive relationship."	corr_est_examples	"Look at the pattern formed by the lines between V1 and V2.
Remember:
- Positive relationships have many lines that are close to parallel.
- Negative relationships have many lines crossing to form an ‘X’ pattern.
- No relationship has lines with no pattern."	+++	
