Event Index	UTC Timestamp	UTC Date and Time	Local Timestamp	Local Timezone	Local Date and Time	Experiment ID	Experiment Version	Tree Node Key	Repeat Key	Schedule ID	Participant Public ID	Participant Starting Group	Participant Status	Participant Completion Code	Participant External Session ID	Participant Device Type	Participant Device	Participant OS	Participant Browser	Participant Monitor Size	Participant Viewport Size	Checkpoint	Room ID	Room Order	Task Name	Task Version	Spreadsheet	Trial Number	Display	Screen	Screen ID	Screen Counter	Response Type	Response	Onset Time	Clock Time	Reaction Time	Absolute Onset Time	Absolute Clock Time	Absolute Reaction Time	Correct	Response Onset	Response Duration	Proportion	Tag	Component Name	Object Name	Object Number	Object ID	Spreadsheet: display	Spreadsheet: screen	Spreadsheet: randomise_trials	Spreadsheet: pcp	Spreadsheet: pcp_string	Spreadsheet: group_no	Spreadsheet: sample_size	Spreadsheet: set_no	Spreadsheet: spacing	Spreadsheet: estimated_value	Spreadsheet: attention_image	Spreadsheet: correct_attention_choice	Spreadsheet: correct_answer	Spreadsheet: scale_factor	Spreadsheet: refactored_correct_answer	Spreadsheet: question_counter	Spreadsheet: text	Spreadsheet: helptext	Manipulation: Spreadsheet
1	1696862910282	09/10/2023 14:48:30	1696866510282	1	09/10/2023 16:48:30	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1						5	BEGIN							0																											
2	1696862919884	09/10/2023 14:48:39	1696866519884	1	09/10/2023 16:48:39	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	1	introduction	instructions	kzvwwb	1	continue		9626.239999999998	9609.556999999999	9626.239999999998	9626.239999999998	9609.556999999999	9626.239999999998	1	9626.239999999998	0	0		Click To Continue	Continue Button	2	object-23	introduction	instructions															"This evaluation is examining how effectively values in a series can be traced in parallel coordinates plots with varying layouts.
The next section contains 6 training questions. Your answers will not be recorded and you may take as much time as needed.
After the training section you will be given the opportunity to pause before the live questions begin.
Thanks for participating!
Please click ‘Continue’ to start."		
3	1696862937062	09/10/2023 14:48:57	1696866537062	1	09/10/2023 16:48:57	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	1	training	pcp_vt_examples	3lq3u9	1	continue		17194.562999952315	17183.989	17194.562999952315	17194.562999952315	17183.989	17194.562999952315	1	17194.562999952315	0	0		Click To Continue	Continue Button	9	object-20	training	pcp_vt_examples		examples_pcp_vt_size_10_set_0_120.png	examples_pcp_vt_size_10_set_0_120	examples	10	0	120				19			1			
4	1696862937064	09/10/2023 14:48:57	1696866537064	1	09/10/2023 16:48:57	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	1	training	pcp_vt_examples	3lq3u9	1	response	19	15115.218000000003	17183.989	17196.562999952315	15115.218000000003	17183.989	17196.562999952315	1	15115.218000000003	2081.3449999523127	0		Number Entry	estimated_value	8	object-19	training	pcp_vt_examples		examples_pcp_vt_size_10_set_0_120.png	examples_pcp_vt_size_10_set_0_120	examples	10	0	120				19			1			
5	1696862950928	09/10/2023 14:49:10	1696866550928	1	09/10/2023 16:49:10	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	2	training	pcp_vt_examples	3lq3u9	1	continue		13876.67399997616	13863.893	13876.67399997616	13876.67399997616	13863.893	13876.67399997616	1	13876.67399997616	0	0		Click To Continue	Continue Button	9	object-20	training	pcp_vt_examples		examples_pcp_vt_size_20_set_0_120.png	examples_pcp_vt_size_20_set_0_120	examples	20	0	120				13			1			
6	1696862950929	09/10/2023 14:49:10	1696866550929	1	09/10/2023 16:49:10	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	2	training	pcp_vt_examples	3lq3u9	1	response	28	10260.283	13863.893	13878.274000000001	10260.283	13863.893	13878.274000000001	1	10260.283	3617.991000000002	0		Number Entry	estimated_value	8	object-19	training	pcp_vt_examples		examples_pcp_vt_size_20_set_0_120.png	examples_pcp_vt_size_20_set_0_120	examples	20	0	120				13			1			
7	1696862963985	09/10/2023 14:49:23	1696866563985	1	09/10/2023 16:49:23	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	3	training	pcp_vt_examples	3lq3u9	1	continue		13070.180999952318	13063.130000000005	13070.180999952318	13070.180999952318	13063.130000000005	13070.180999952318	1	13070.180999952318	0	0		Click To Continue	Continue Button	9	object-20	training	pcp_vt_examples		examples_pcp_vt_size_40_set_0_120.png	examples_pcp_vt_size_40_set_0_120	examples	40	0	120				38			1			
8	1696862963986	09/10/2023 14:49:23	1696866563986	1	09/10/2023 16:49:23	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	3	training	pcp_vt_examples	3lq3u9	1	response	38	10760.808000000005	13063.130000000005	13071.481000023843	10760.808000000005	13063.130000000005	13071.481000023843	1	10760.808000000005	2310.6730000238385	0		Number Entry	estimated_value	8	object-19	training	pcp_vt_examples		examples_pcp_vt_size_40_set_0_120.png	examples_pcp_vt_size_40_set_0_120	examples	40	0	120				38			1			
9	1696862974770	09/10/2023 14:49:34	1696866574770	1	09/10/2023 16:49:34	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	4	training	pcp_vt_examples	3lq3u9	1	continue		10792.250999999997	10777.499000000003	10792.250999999997	10792.250999999997	10777.499000000003	10792.250999999997	1	10792.250999999997	0	0		Click To Continue	Continue Button	9	object-20	training	pcp_vt_examples		examples_pcp_vt_size_10_set_1_120.png	examples_pcp_vt_size_10_set_1_120	examples	10	1	120				3			1			
10	1696862974772	09/10/2023 14:49:34	1696866574772	1	09/10/2023 16:49:34	142982	9	task-i1zc		32116403	623c7c7622e9904de7912e1ce4a7797f		complete		6524205dcaa30f89a314b945	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x931			0	pcp_vt	13	Spreadsheet1	4	training	pcp_vt_examples	3lq3u9	1	response	4	8792.142999999996	10777.499000000003	10793.851000023838	8792.142999999996	10777.499000000003	10793.851000023838	1	8792.142999999996	2001.708000023842	0		Number Entry	estimated_value	8	object-19	training	pcp_vt_examples		examples_pcp_vt_size_10_set_1_120.png	examples_pcp_vt_size_10_set_1_120	examples	10	1	120				3			1			
